document_id,file_name,label
114,clean_text3/ARL_DEF 14A_20181212_0001387131-18-006070.txt,ARL
115,clean_text3/ARMK_DEF 14A_20190130_0001193125-18-356409.txt,ARMK
116,clean_text3/ARMP_DEF 14A_20181217_0001144204-18-058507.txt,ARMP
117,clean_text3/ARNC_DEF 14A_20190514_0001144204-19-016383.txt,ARNC
118,clean_text3/AROC_DEF 14A_20190424_0001140361-19-004947.txt,AROC
119,clean_text3/AROW_DEF 14A_20190329_0000717538-19-000101.txt,AROW
120,clean_text3/ARQL_DEF 14A_20190514_0001144204-19-016404.txt,ARQL
121,clean_text3/ARTW_DEF 14A_20190416_0001437749-19-005032.txt,ARTW
122,clean_text3/ARTX_DEF 14A_20190506_0000916529-19-000044.txt,ARTX
123,clean_text3/ARWR_DEF 14A_20190314_0001193125-19-017078.txt,ARWR
124,clean_text3/ARW_DEF 14A_20190509_0001558370-19-002460.txt,ARW
125,clean_text3/ASA_DEF 14A_20190326_0000930413-19-000627.txt,ASA
126,clean_text3/ASB_DEF 14A_20190430_0001047469-19-001279.txt,ASB
127,clean_text3/ASFI_DEF 14A_20181130_0001437749-18-018976.txt,ASFI
128,clean_text3/ASNA_DEF 14A_20181214_0001193125-18-314946.txt,ASNA
129,clean_text3/ASPU_DEF 14A_20181213_0001553350-18-001155.txt,ASPU
130,clean_text3/ASRVP_DEF 14A_20190423_0001144204-19-013809.txt,ASRVP
131,clean_text3/ASRV_DEF 14A_20190423_0001144204-19-013809.txt,ASRV
132,clean_text3/ASTC_DEF 14A_20181207_0001564590-18-027442.txt,ASTC
133,clean_text3/ASTE_DEF 14A_20190315_0000792987-19-000016.txt,ASTE
134,clean_text3/ASYS_DEF 14A_20180930_0000720500-19-000002.txt,ASYS
135,clean_text3/ATGE_DEF 14A_20181106_0001140361-18-040113.txt,ATGE
136,clean_text3/ATIS_DEF 14A_20190307_0001213900-19-001717.txt,ATIS
137,clean_text3/ATI_DEF 14A_20190509_0001193125-19-080693.txt,ATI
138,clean_text3/ATKR_DEF 14A_20190205_0001666138-19-000003.txt,ATKR
139,clean_text3/ATLO_DEF 14A_20190423_0001437749-19-004928.txt,ATLO
140,clean_text3/ATO_DEF 14A_20190206_0001193125-18-355319.txt,ATO
141,clean_text3/ATR_DEF 14A_20190501_0001047469-19-001530.txt,ATR
142,clean_text3/ATSG_DEF 14A_20181231_0000894081-19-000132.txt,ATSG
143,clean_text3/ATUS-W_DEF 14A_20190430_0001628280-19-003207.txt,ATUS-W
144,clean_text3/ATUS_DEF 14A_20190430_0001628280-19-003207.txt,ATUS
145,clean_text3/AVA_DEF 14A_20190509_0001193125-19-092657.txt,AVA
